Index	Name	Description	File Name	Quantity
10.1.3.4.1.1.4.14	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB013		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.15	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB014		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.16	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB015		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.17	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB016		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.18	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB017		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.19	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB018		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.20	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB019		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.21	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB020		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.22	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB021		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.23	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB022		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.24	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB023		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
